station_id,canonical_station_id
SYS018,SYS018
LA Metro Demo 1,LA Metro Demo 1
LA Metro Demo 3,LA Metro Demo 3
LA Metro Demo 2,LA Metro Demo 2
1964.01,1964.01
2009.04,2009.04
2042.01,2042.01
2086.07,2086.07
2118.13,2118.13
2127.03,2127.03
2158.08,2158.08
2200.07,2200.07
2190.08,2190.08
2240.06,2240.06
2231.1,2231.1
2231.10,2231.1
2261.04,2261.04
2335.08,2335.08
2345.05,2345.05
2303.05,2303.05
2345.04,2345.04
2354.03,2354.03
2312.02,2312.02
2377.01,2377.01
2387.07,2387.07
2419.03,2419.03
2472.02,2472.02
2488.09,2488.09
2453.05,2453.05
2533.04,2533.04
2506.11,2506.11
2463.04,2463.04
2506.1,2506.1
2506.10,2506.1
2497.07,2497.07
2569.07,2569.07
2615.05,2615.05
2578.16,2578.16
2625.01,2625.01
2578.17,2578.17
2635.08,2635.08
2671.05,2671.05
2660.09,2660.09
2733.03,2733.03
2708.07,2708.07
2717.06,2717.06
2698.07,2698.07
2793.07,2793.07
2743.04,2743.04
2754.05,2754.05
2818.01,2818.01
2821.05,2821.05
2821.06,2821.06
2782.02,2782.02
2843.13,2843.13
2803.04,2803.04
2832.03,2832.03
2872.02,2872.02
2883.03,2883.03
2908.02,2908.02
2912.08,2912.08
2843.01,2843.01
2861.02,2861.02
2947.05,2947.05
2942.07,2942.07
2868.03,2868.03
2932.03,2932.03
2898.01,2898.01
2951.05,2951.05
2923.01,2923.01
2971.02,2971.02
2961.05,2961.05
2984.04,2984.04
2957.08,2957.08
3019.02,3019.02
2981.03,2981.03
2996.05,2996.05
3000.08,3000.08
3011.03,3011.03
3056.07,3056.07
3070.04,3070.04
3007.05,3007.05
3034.02,3034.02
3050.03,3050.03
3019.03,3019.03
3038.08,3038.08
3093.07,3093.07
3022.01,3022.01
3084.05,3084.05
3090.06,3090.06
3129.08,3129.08
3056.05,3056.05
3080.01,3080.01
3113.1,3113.1
3113.10,3113.1
